,Ticker,Price,Shares Outstanding,Market Cap,Expected Growth - 5 Year,Last 12 Month Return,Beta,Avg Current Estimate
0,MMM,190.53,575.9M,110.382B,6.59%,-1.89%,1.2,10.52
1,ABT,78.46,1.76B,137.988B,11.59%,34.37%,0.88,3.22
2,ABBV,79.67,1.48B,117.809B,7.71%,-17.82%,0.99,8.67
3,ABMD,268.4,45.09M,12.395B,28.90%,-10.91%,1.26,5.08
4,ACN,180.12,637.83M,115.339B,8.88%,19.01%,1.14,7.31
5,ATVI,47.48,763.83M,36.779B,7.30%,-28.55%,0.79,2.2
6,ADBE,278.18,487.95M,137.583B,22.65%,25.30%,1.03,7.82
7,AMD,27.66,1.08B,30.154B,34.44%,154.23%,4.05,0.64
8,AAP,170.31,71.26M,12.128B,17.52%,49.10%,1.29,8.14
9,AES,17.68,662.4M,11.566B,7.70%,43.71%,0.6,1.33
10,AMG,111.62,51.5M,5.792B,4.49%,-32.01%,1.45,14.13
11,AFL,49.41,748.85M,37.091B,6.19%,7.92%,0.52,4.26
12,A,76.98,317.52M,24.582B,10.65%,16.70%,1.27,3.07
13,APD,200.33,219.63M,44.491B,11.93%,22.99%,0.64,8.17
14,AKAM,78.5,163.86M,12.922B,15.30%,9.71%,0.18,4.1
15,ALK,59.1,123.61M,7.493B,15.31%,-8.87%,1.15,5.97
16,ALB,74.7,105.89M,8.001B,13.29%,-22.78%,1.08,6.21
17,ARE,143.1,112.96M,16.19B,0.10%,14.29%,0.85,1.93
18,ALXN,136.0,224.3M,30.184B,14.97%,15.34%,1.75,9.31
19,ALGN,298.75,79.99M,25.437B,21.36%,18.77%,2.71,5.14
20,ALLE,96.71,94.46M,9.286B,8.67%,25.11%,1.19,4.86
21,AGN,142.08,330.22M,48.01B,3.89%,-7.91%,1.6,16.43
22,ADS,154.07,52.38M,8.212B,5.97%,-24.17%,2.11,21.83
23,LNT,47.03,237.39M,11.153B,5.85%,9.13%,0.29,2.25
24,ALL,96.56,332.98M,32.435B,12.16%,-1.38%,0.7,8.98
25,GOOGL,1273.38,299.36M,885.967B,17.60%,24.42%,1.19,46.96
26,GOOG,1269.0,349.29M,885.973B,17.60%,24.19%,1.16,47.04
27,MO,51.54,1.87B,98.738B,7.03%,-8.38%,0.25,4.19
28,AMZN,1929.0,492.05M,959.813B,91.00%,21.46%,1.71,27.4
29,AEE,72.61,245.42M,17.714B,6.65%,23.27%,0.26,3.28
30,AAL,32.15,449.06M,14.846B,17.23%,-22.18%,1.84,5.63
31,AEP,85.47,493.29M,41.786B,5.96%,21.22%,0.17,4.13
32,AXP,116.59,837M,98.431B,9.10%,17.35%,1.06,8.12
33,AIG,45.2,869.74M,40.051B,49.77%,-19.30%,1.3,4.35
34,AMT,192.46,441.97M,85.392B,20.10%,41.02%,0.22,3.53
35,AWK,107.18,180.51M,19.293B,8.20%,23.04%,0.3,3.59
36,AMP,145.41,135.4M,19.854B,18.83%,3.46%,2.23,15.71
37,ABC,74.09,211.09M,15.631B,8.62%,-18.61%,1.53,6.76
38,AME,85.99,227.52M,19.862B,8.45%,23.08%,1.28,4.02
39,AMGN,180.7,615.95M,111.776B,2.00%,3.44%,0.97,14.1
40,APH,100.52,297.96M,29.788B,6.30%,20.21%,0.9,3.91
41,APC,71.9,501.96M,36.543B,29.45%,6.61%,1.34,2.12
42,ADI,113.25,368.31M,42.15B,9.34%,31.68%,1.31,5.47
43,ANSS,191.5,83.87M,16.327B,15.60%,18.72%,1.64,5.87
