,Unnamed: 0,Security,Symbol,GICS Sector,GICS Sub Industry
0,0,3M Company,MMM,Industrials,Industrial Conglomerates
1,1,Abbott Laboratories,ABT,Health Care,Health Care Equipment
2,2,AbbVie Inc.,ABBV,Health Care,Pharmaceuticals
3,3,ABIOMED Inc,ABMD,Health Care,Health Care Equipment
4,4,Accenture plc,ACN,Information Technology,IT Consulting & Other Services
5,5,Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
6,6,Adobe Systems Inc,ADBE,Information Technology,Application Software
7,7,Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors
8,8,Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
9,9,AES Corp,AES,Utilities,Independent Power Producers & Energy Traders
10,10,Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks
11,11,AFLAC Inc,AFL,Financials,Life & Health Insurance
12,12,Agilent Technologies Inc,A,Health Care,Health Care Equipment
13,13,Air Products & Chemicals Inc,APD,Materials,Industrial Gases
14,14,Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure
15,15,Alaska Air Group Inc,ALK,Industrials,Airlines
16,16,Albemarle Corp,ALB,Materials,Specialty Chemicals
17,17,Alexandria Real Estate Equities,ARE,Real Estate,Office REITs
18,18,Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology
19,19,Align Technology,ALGN,Health Care,Health Care Supplies
20,20,Allegion,ALLE,Industrials,Building Products
21,21,"Allergan, Plc",AGN,Health Care,Pharmaceuticals
22,22,Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services
23,23,Alliant Energy Corp,LNT,Utilities,Electric Utilities
24,24,Allstate Corp,ALL,Financials,Property & Casualty Insurance
25,25,Alphabet Inc Class A,GOOGL,Communication Services,Interactive Media & Services
26,26,Alphabet Inc Class C,GOOG,Communication Services,Interactive Media & Services
27,27,Altria Group Inc,MO,Consumer Staples,Tobacco
28,28,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
29,29,Ameren Corp,AEE,Utilities,Multi-Utilities
30,30,American Airlines Group,AAL,Industrials,Airlines
31,31,American Electric Power,AEP,Utilities,Electric Utilities
32,32,American Express Co,AXP,Financials,Consumer Finance
33,33,American International Group,AIG,Financials,Property & Casualty Insurance
34,34,American Tower Corp.,AMT,Real Estate,Specialized REITs
35,35,American Water Works Company Inc,AWK,Utilities,Water Utilities
36,36,Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
37,37,AmerisourceBergen Corp,ABC,Health Care,Health Care Distributors
38,38,AMETEK Inc.,AME,Industrials,Electrical Components & Equipment
39,39,Amgen Inc.,AMGN,Health Care,Biotechnology
