,Security,Symbol,GICS Sector,GICS Sub Industry,Ticker,Price,Shares Outstanding,Market Cap,Expected Growth - 5 Year,Last 12 Month Return,Beta,Avg Current Estimate,EPS,Equity COC,PVEPS,EPS1,EPS2,EPS3,EPS4,EPS5,Known Growth,Unknown Growth,% Present,% Known,% Unknown
0,3M Company,MMM,Industrials,Industrial Conglomerates,MMM,190.86,576430000.0,109046000000.0,0.0659,-0.0215,1.2,10.52,9.46,0.09839999999999999,106.91056910569107,10.083414000000001,10.747910982600002,11.456198316353344,12.21116178540103,13.015877347058959,47.520519699396566,36.42891119491238,56.01517819642201,24.898103164307116,19.086718639270867
1,Abbott Laboratories,ABT,Health Care,Health Care Equipment,ABT,78.27,1760000000.0,139587000000.0,0.1159,0.3465,0.88,3.22,1.47,0.07855999999999999,40.987780040733206,1.6403729999999999,1.8304922306999996,2.042646280238129,2.279388984117728,2.5435701673769726,8.789769530710995,28.492450428555795,52.36716499390981,11.230062004230223,36.40277300185997
2,AbbVie Inc.,ABBV,Health Care,Pharmaceuticals,ABBV,80.68,1480000000.0,117410000000.0,0.0771,-0.16829999999999998,0.99,8.67,3.51,0.08538,101.54602951510893,3.7806209999999996,4.0721068791,4.386066319478609,4.72423203271041,5.088470322432382,18.616885914088762,-39.48291542919768,125.86270391064566,23.074970146366834,-48.937674057012494
3,ABIOMED Inc,ABMD,Health Care,Health Care Equipment,ABMD,273.01,45090000.0,12556000000.0,0.289,-0.0895,1.26,5.08,4.81,0.10211999999999999,49.74539757148453,6.200089999999999,7.991916009999999,10.301579736889998,13.278736280851207,17.116291066017205,43.45248888776426,179.81211354075117,18.221089913001183,15.916079589672268,65.86283049732653
4,Accenture plc,ACN,Information Technology,IT Consulting & Other Services,ACN,181.58,637830000.0,116436000000.0,0.0888,0.1985,1.14,7.31,6.87,0.09467999999999999,77.20743557245459,7.480056,8.1442849728,8.867497478384639,9.654931254465195,10.512289149861704,37.000646199919515,67.37191822762591,42.51979049039243,20.377049344597154,37.103160165010415
5,Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment,ATVI,48.41,766000000.0,36779000000.0,0.073,-0.2705,0.79,2.2,2.35,0.07298,30.145245272677446,2.52155,2.7056231499999996,2.9031336399499996,3.1150623956663495,3.3424619505499926,12.608220017521539,5.6565347098010115,62.270698766117434,26.04466023036881,11.684641003513761
6,Adobe Systems Inc,ADBE,Information Technology,Application Software,ADBE,286.1,487950000.0,141037000000.0,0.22649999999999998,0.2912,1.03,7.82,5.39,0.08786,89.00523560209425,6.610834999999999,8.108189127499998,9.944693964878747,12.197167147923782,14.959825506928517,42.62308610919731,154.47167828870846,31.109834184583796,14.897967881578927,53.992197933837275
7,Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors,AMD,27.59,1080000000.0,29624000000.0,0.3444,1.545,4.05,0.64,0.32,0.2751,2.3264267539076697,0.43020800000000003,0.5783716352,0.77756282636288,1.045355463762256,1.405375885481977,2.3979088243936486,22.865664421698682,8.432137564000254,8.69122444506578,82.87663799093397
8,Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail,AAP,167.41,71720000.0,11890000000.0,0.1752,0.4571,1.29,8.14,5.73,0.10397999999999999,78.28428543950761,6.7338960000000005,7.913674579200001,9.300150365475842,10.92953670950721,12.844391541012872,38.303061487803134,50.82265307268925,46.76201268712001,22.87979301583127,30.358194297048712
9,AES Corp,AES,Utilities,Independent Power Producers & Energy Traders,AES,17.08,662400000.0,11248000000.0,0.077,0.3957,0.6,1.33,1.81,0.0612,21.73202614379085,1.94937,2.09947149,2.26113079473,2.43523786592421,2.622751181600374,10.04144146128724,-14.693467605078093,127.23668702453661,58.790640874047085,-86.02732789858369
10,Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks,AMG,112.67,51500000.0,5747000000.0,0.0449,-0.31489999999999996,1.45,14.13,4.52,0.1139,124.05618964003513,4.722948,4.935008365199999,5.156590240797478,5.388121142609285,5.630047781912442,20.864814492585268,-32.251004132620395,110.10578649155511,18.518518232524425,-28.624304724079522
11,AFLAC Inc,AFL,Financials,Life & Health Insurance,AFL,49.79,746490000.0,37440000000.0,0.061900000000000004,0.0911,0.52,4.26,4.09,0.05624,75.74679943100996,4.343171,4.6120132849,4.89749690723531,5.200651965793177,5.522572322475774,21.94983997406053,-47.90663940507049,152.1325555955211,44.08483626041481,-96.21739185593592
12,Agilent Technologies Inc,A,Health Care,Health Care Equipment,A,77.44,317520000.0,24893000000.0,0.1065,0.17629999999999998,1.27,3.07,3.51,0.10274,29.881253649990267,3.883815,4.2974412975,4.75511879568375,5.26153894742407,5.821892845324733,19.55195329878928,28.00679305122045,38.58632961000809,25.247873577982023,36.16579681200987
13,Air Products & Chemicals Inc,APD,Materials,Industrial Gases,APD,204.35,220130000.0,45145000000.0,0.1193,0.2544,0.64,8.17,7.67,0.06368,128.29773869346732,8.585030999999999,9.609225198299999,10.755605764457188,12.038749532156931,13.474972351343252,47.6552202243013,28.397041082231368,62.783331878378924,23.320391594960267,13.896276526660811
14,Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure,AKAM,79.37,163860000.0,13061000000.0,0.153,0.1075,0.18,4.1,1.76,0.03516,116.60978384527873,2.02928,2.33975984,2.6977430955200004,3.1104977891345604,3.5864039508721484,12.734763822125384,-49.97454766740411,146.91921865349468,16.04480763780444,-62.96402629129912
15,Alaska Air Group Inc,ALK,Industrials,Airlines,ALK,61.41,123500000.0,7697000000.0,0.1531,-0.0676,1.15,5.97,3.52,0.0953,62.644281217208814,4.058912,4.6803314272000005,5.396890168704321,6.223154053532952,7.175918939128848,22.552530894862134,-23.78681211207095,102.00990264974568,36.724525150402435,-38.73442780014811
16,Albemarle Corp,ALB,Materials,Specialty Chemicals,ALB,75.85,105890000.0,7946000000.0,0.1329,-0.2192,1.08,6.21,6.34,0.09096000000000001,68.27176781002638,7.182586,8.1371516794,9.218579137592261,10.443728304978272,11.831699796709884,38.78235240012682,-31.2041202101532,90.00892262363399,51.13032617023971,-41.139248793873705
