,Unnamed: 0,Security,Symbol,GICS Sector,GICS Sub Industry,Ticker,Price,Shares Outstanding,Market Cap,Expected Growth - 5 Year,Last 12 Month Return,Beta,Avg Current Estimate,EPS
0,0,3M Company,MMM,Industrials,Industrial Conglomerates,MMM,190.86,576430000.0,109046000000.0,0.0659,-0.0215,1.2,10.52,9.46
1,1,Abbott Laboratories,ABT,Health Care,Health Care Equipment,ABT,78.27,1760000000.0,139587000000.0,0.1159,0.3465,0.88,3.22,1.47
2,2,AbbVie Inc.,ABBV,Health Care,Pharmaceuticals,ABBV,80.68,1480000000.0,117410000000.0,0.0771,-0.16829999999999998,0.99,8.67,3.51
3,3,ABIOMED Inc,ABMD,Health Care,Health Care Equipment,ABMD,273.01,45090000.0,12556000000.0,0.289,-0.0895,1.26,5.08,4.81
4,4,Accenture plc,ACN,Information Technology,IT Consulting & Other Services,ACN,181.58,637830000.0,116436000000.0,0.0888,0.1985,1.14,7.31,6.87
5,5,Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment,ATVI,48.41,766000000.0,36779000000.0,0.073,-0.2705,0.79,2.2,2.35
6,6,Adobe Systems Inc,ADBE,Information Technology,Application Software,ADBE,286.1,487950000.0,141037000000.0,0.22649999999999998,0.2912,1.03,7.82,5.39
7,7,Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors,AMD,27.59,1080000000.0,29624000000.0,0.3444,1.545,4.05,0.64,0.32
8,8,Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail,AAP,167.41,71720000.0,11890000000.0,0.1752,0.4571,1.29,8.14,5.73
9,9,AES Corp,AES,Utilities,Independent Power Producers & Energy Traders,AES,17.08,662400000.0,11248000000.0,0.077,0.3957,0.6,1.33,1.81
10,10,Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks,AMG,112.67,51500000.0,5747000000.0,0.0449,-0.31489999999999996,1.45,14.13,4.52
11,11,AFLAC Inc,AFL,Financials,Life & Health Insurance,AFL,49.79,746490000.0,37440000000.0,0.061900000000000004,0.0911,0.52,4.26,4.09
12,12,Agilent Technologies Inc,A,Health Care,Health Care Equipment,A,77.44,317520000.0,24893000000.0,0.1065,0.17629999999999998,1.27,3.07,3.51
13,13,Air Products & Chemicals Inc,APD,Materials,Industrial Gases,APD,204.35,220130000.0,45145000000.0,0.1193,0.2544,0.64,8.17,7.67
