,Security,Symbol,GICS Sector,GICS Sub Industry
0,3M Company,MMM,Industrials,Industrial Conglomerates
1,Abbott Laboratories,ABT,Health Care,Health Care Equipment
2,AbbVie Inc.,ABBV,Health Care,Pharmaceuticals
3,ABIOMED Inc,ABMD,Health Care,Health Care Equipment
4,Accenture plc,ACN,Information Technology,IT Consulting & Other Services
5,Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
6,Adobe Systems Inc,ADBE,Information Technology,Application Software
7,Advanced Micro Devices Inc,AMD,Information Technology,Semiconductors
8,Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
9,AES Corp,AES,Utilities,Independent Power Producers & Energy Traders
10,Affiliated Managers Group Inc,AMG,Financials,Asset Management & Custody Banks
11,AFLAC Inc,AFL,Financials,Life & Health Insurance
12,Agilent Technologies Inc,A,Health Care,Health Care Equipment
13,Air Products & Chemicals Inc,APD,Materials,Industrial Gases
14,Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure
15,Alaska Air Group Inc,ALK,Industrials,Airlines
16,Albemarle Corp,ALB,Materials,Specialty Chemicals
17,Alexandria Real Estate Equities,ARE,Real Estate,Office REITs
18,Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology
19,Align Technology,ALGN,Health Care,Health Care Supplies
20,Allegion,ALLE,Industrials,Building Products
21,"Allergan, Plc",AGN,Health Care,Pharmaceuticals
22,Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services
23,Alliant Energy Corp,LNT,Utilities,Electric Utilities
24,Allstate Corp,ALL,Financials,Property & Casualty Insurance
25,Alphabet Inc Class A,GOOGL,Communication Services,Interactive Media & Services
26,Alphabet Inc Class C,GOOG,Communication Services,Interactive Media & Services
27,Altria Group Inc,MO,Consumer Staples,Tobacco
28,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
29,Ameren Corp,AEE,Utilities,Multi-Utilities
30,American Airlines Group,AAL,Industrials,Airlines
31,American Electric Power,AEP,Utilities,Electric Utilities
32,American Express Co,AXP,Financials,Consumer Finance
33,American International Group,AIG,Financials,Property & Casualty Insurance
34,American Tower Corp.,AMT,Real Estate,Specialized REITs
35,American Water Works Company Inc,AWK,Utilities,Water Utilities
36,Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
37,AmerisourceBergen Corp,ABC,Health Care,Health Care Distributors
38,AMETEK Inc.,AME,Industrials,Electrical Components & Equipment
39,Amgen Inc.,AMGN,Health Care,Biotechnology
40,Amphenol Corp,APH,Information Technology,Electronic Components
41,Anadarko Petroleum Corp,APC,Energy,Oil & Gas Exploration & Production
42,"Analog Devices, Inc.",ADI,Information Technology,Semiconductors
43,ANSYS,ANSS,Information Technology,Application Software
44,Anthem Inc.,ANTM,Health Care,Managed Health Care
45,Aon plc,AON,Financials,Insurance Brokers
46,A.O. Smith Corp,AOS,Industrials,Building Products
47,Apache Corporation,APA,Energy,Oil & Gas Exploration & Production
48,Apartment Investment & Management,AIV,Real Estate,Residential REITs
49,Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
50,Applied Materials Inc.,AMAT,Information Technology,Semiconductor Equipment
51,Aptiv Plc,APTV,Consumer Discretionary,Auto Parts & Equipment
52,Archer-Daniels-Midland Co,ADM,Consumer Staples,Agricultural Products
53,Arconic Inc.,ARNC,Industrials,Aerospace & Defense
54,Arista Networks,ANET,Information Technology,Communications Equipment
55,Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers
56,Assurant,AIZ,Financials,Multi-line Insurance
57,Atmos Energy Corp,ATO,Utilities,Gas Utilities
58,AT&T Inc.,T,Communication Services,Integrated Telecommunication Services
59,Autodesk Inc.,ADSK,Information Technology,Application Software
60,Automatic Data Processing,ADP,Information Technology,Internet Services & Infrastructure
61,AutoZone Inc,AZO,Consumer Discretionary,Specialty Stores
62,"AvalonBay Communities, Inc.",AVB,Real Estate,Residential REITs
63,Avery Dennison Corp,AVY,Materials,Paper Packaging
64,"Baker Hughes, a GE Company",BHGE,Energy,Oil & Gas Equipment & Services
65,Ball Corp,BLL,Materials,Metal & Glass Containers
66,Bank of America Corp,BAC,Financials,Diversified Banks
67,The Bank of New York Mellon Corp.,BK,Financials,Asset Management & Custody Banks
68,Baxter International Inc.,BAX,Health Care,Health Care Equipment
69,BB&T Corporation,BBT,Financials,Regional Banks
70,Becton Dickinson,BDX,Health Care,Health Care Equipment
71,Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings
72,Best Buy Co. Inc.,BBY,Consumer Discretionary,Computer & Electronics Retail
73,Biogen Inc.,BIIB,Health Care,Biotechnology
74,BlackRock,BLK,Financials,Asset Management & Custody Banks
75,Block H&R,HRB,Consumer Discretionary,Specialized Consumer Services
76,Boeing Company,BA,Industrials,Aerospace & Defense
77,Booking Holdings Inc,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
78,BorgWarner,BWA,Consumer Discretionary,Auto Parts & Equipment
79,Boston Properties,BXP,Real Estate,Office REITs
80,Boston Scientific,BSX,Health Care,Health Care Equipment
81,Bristol-Myers Squibb,BMY,Health Care,Health Care Distributors
82,Broadcom,AVGO,Information Technology,Semiconductors
83,Broadridge Financial Solutions,BR,Information Technology,Data Processing & Outsourced Services
84,Brown-Forman Corp.,BF.B,Consumer Staples,Distillers & Vintners
85,C. H. Robinson Worldwide,CHRW,Industrials,Air Freight & Logistics
86,Cabot Oil & Gas,COG,Energy,Oil & Gas Exploration & Production
87,Cadence Design Systems,CDNS,Information Technology,Application Software
88,Campbell Soup,CPB,Consumer Staples,Packaged Foods & Meats
89,Capital One Financial,COF,Financials,Consumer Finance
90,Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
91,Cardinal Health Inc.,CAH,Health Care,Health Care Distributors
92,Carmax Inc,KMX,Consumer Discretionary,Specialty Stores
93,Carnival Corp.,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
94,Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Trucks
95,Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data
96,CBRE Group,CBRE,Real Estate,Real Estate Services
97,CBS Corp.,CBS,Communication Services,Broadcasting
98,Celanese Corp.,CE,Materials,Specialty Chemicals
99,Celgene Corp.,CELG,Health Care,Biotechnology
100,Centene Corporation,CNC,Health Care,Managed Health Care
101,CenterPoint Energy,CNP,Utilities,Multi-Utilities
102,CenturyLink Inc,CTL,Communication Services,Integrated Telecommunication Services
